"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"189","MIR_374B_5P",0.572944247858987,0.395150421632817,1.44993960905192,0.147147057866774,"BMD",0.389064497490415,"linear",">10%",0.572944247858987
"207","MIR_454_5P",0.359743001824126,0.24837328737349,1.44839650683998,0.147576188703261,"BMD",0.389064497490415,"linear",">10%",0.359743001824126
"70","MIR_148B_3P",-0.664153217102892,0.461944477271848,-1.43773386149186,0.150696592874316,"BMD",0.391060719505706,"linear",">10%",-0.664153217102892
"65","MIR_145_5P",0.534827746669501,0.3731380554342,1.43332404422581,0.15183342257968,"BMD",0.391060719505706,"linear",">10%",0.534827746669501
"143","MIR_27B_3P",0.359342926518268,0.251064831513569,1.43127543731209,0.152420502423588,"BMD",0.391060719505706,"linear",">10%",0.359342926518268
"149","MIR_29A_5P",0.414439872974671,0.290428515594729,1.42699442623943,0.153727317322933,"BMD",0.391060719505706,"linear",">10%",0.414439872974671
"29","MIR_126_3P",0.461914642963793,0.326460521826905,1.41491730877251,0.157159803885387,"BMD",0.393151045640555,"linear",">10%",0.461914642963793
"179","MIR_342_5P",-0.680455472164418,0.480770543512443,-1.41534351749819,0.157260418256222,"BMD",0.393151045640555,"linear",">10%",-0.680455472164418
"102","MIR_193A_5P",0.316069287207171,0.224896648757303,1.40539794147069,0.159972505611927,"BMD",0.393499750460123,"linear",">10%",0.316069287207171
"190","MIR_375",0.31038157221727,0.221086631555561,1.403891180726,0.160423421803958,"BMD",0.393499750460123,"linear",">10%",0.31038157221727
"276","MIR_941",0.409569087084405,0.292454123324057,1.40045584732816,0.161470587257775,"BMD",0.393499750460123,"linear",">10%",0.409569087084405
"17","MIR_1178",0.59355861225227,0.427994472249024,1.38683709893083,0.165723129402013,"BMD",0.396132548053288,"linear",">10%",0.59355861225227
"271","MIR_92A_1_5P",-0.502819625669518,0.36322165785638,-1.38433272023756,0.166720950343005,"BMD",0.396132548053288,"linear",">10%",-0.502819625669518
"282","RNU44_A2",0.611492284880772,0.443085018650265,1.3800788994029,0.167638905705618,"BMD",0.396132548053288,"linear",">10%",0.611492284880772
"108","MIR_199A_5P",-0.645738736670182,0.468402986434978,-1.3785965405236,0.168284980361255,"BMD",0.396132548053288,"linear",">10%",-0.645738736670182
"2","HSA_MIR_128A",0.371228821721465,0.270077580243003,1.37452661338069,0.169380813650371,"BMD",0.396132548053288,"linear",">10%",0.371228821721465
"219","MIR_501_3P",1.29877775595368,0.951861420291279,1.36446096907283,0.172995103223751,"BMD",0.401220985085254,"linear",">10%",1.29877775595368
"79","MIR_15B_3P",0.477133768961243,0.351179201611285,1.35866180790905,0.174323600416352,"BMD",0.401220985085254,"linear",">10%",0.477133768961243
"123","MIR_218_5P",0.501724689062392,0.371293957307448,1.3512869767685,0.176671180274238,"BMD",0.402691349281644,"linear",">10%",0.501724689062392
"247","MIR_629_5P",0.282975630541693,0.209926881567003,1.34797234365326,0.17773963002776,"BMD",0.402691349281644,"linear",">10%",0.282975630541693
"64","MIR_144_5P",0.589867824991665,0.439102766071616,1.34334800545406,0.179228435960499,"BMD",0.402916638980966,"linear",">10%",0.589867824991665
"274","MIR_93_5P",0.438214777167572,0.328552226457596,1.33377509533976,0.182343940977732,"BMD",0.405698340304199,"linear",">10%",0.438214777167572
"269","MIR_9_3P",0.45365089067195,0.341241347458211,1.32941360726371,0.183877249016991,"BMD",0.405698340304199,"linear",">10%",0.45365089067195
"96","MIR_18A_5P_A2",0.433959171899973,0.327125940403261,1.32658135079418,0.184715479872899,"BMD",0.405698340304199,"linear",">10%",0.433959171899973
"51","MIR_130B_5P",0.274664251456296,0.208019226647087,1.32037915861631,0.186775834502839,"BMD",0.405698340304199,"linear",">10%",0.274664251456296
"255","MIR_668",-0.431393463755441,0.327222398332997,-1.31834943436981,0.187460612416423,"BMD",0.405698340304199,"linear",">10%",-0.431393463755441
"265","MIR_769_5P",0.270708203669094,0.208530043053429,1.29817363342573,0.194294907564643,"BMD",0.417374245879604,"linear",">10%",0.270708203669094
"261","MIR_744_3P",0.276525733302665,0.215902606597449,1.28078923020252,0.200333904579145,"BMD",0.427182590646707,"linear",">10%",0.276525733302665
"99","MIR_191_5P",0.174234465252289,0.136675086545943,1.27480779164329,0.202441585576366,"BMD",0.428267334479954,"linear",">10%",0.174234465252289
"177","MIR_340_5P",0.519770493766763,0.408783797585169,1.271504636038,0.203796179855978,"BMD",0.428267334479954,"linear",">10%",0.519770493766763
"150","MIR_29B_2_5P",0.263056903830968,0.208263224168038,1.26309820123941,0.206621665057296,"BMD",0.429391308799401,"linear",">10%",0.263056903830968
"163","MIR_320B",-0.209652314348123,0.166229466847165,-1.26122232312086,0.207292355972125,"BMD",0.429391308799401,"linear",">10%",-0.209652314348123
"272","MIR_92A_3P",0.152490992579828,0.121824187665867,1.25173001767163,0.210731505617022,"BMD",0.433009428940933,"linear",">10%",0.152490992579828
"73","MIR_151A_3P",0.309936155477936,0.248307788909654,1.24819344910161,0.212025306584871,"BMD",0.433009428940933,"linear",">10%",0.309936155477936
"77","MIR_155_5P",0.515686760885262,0.417878424653,1.23405931118239,0.217271003661418,"BMD",0.439477974868308,"linear",">10%",0.515686760885262
"57","MIR_138_5P",0.321746181377919,0.261268118371652,1.23147892434483,0.218223546141505,"BMD",0.439477974868308,"linear",">10%",0.321746181377919
"155","MIR_30A_3P",-0.769461275158125,0.628056016261791,-1.2251475270279,0.220915332652569,"BMD",0.440383685519076,"linear",">10%",-0.769461275158125
"141","MIR_27A_3P",0.358517717299543,0.293346327181132,1.22216535228058,0.221710407192363,"BMD",0.440383685519076,"linear",">10%",0.358517717299543
"181","MIR_361_5P",-0.405932966434859,0.333659217241778,-1.21660947894843,0.223856786603465,"BMD",0.441622232074862,"linear",">10%",-0.405932966434859
"200","MIR_424_3P",0.236309716005803,0.195685335848862,1.20760053368699,0.227265669905233,"BMD",0.444835459204219,"linear",">10%",0.236309716005803
"75","MIR_152",0.346478173135034,0.287710183366334,1.20426106952868,0.228553391108375,"BMD",0.444835459204219,"linear",">10%",0.346478173135034
"35","MIR_1271_5P_B2",0.289305874192754,0.243174639597512,1.1897041347387,0.23422601367892,"BMD",0.452836959779246,"linear",">10%",0.289305874192754
"225","MIR_532_3P",0.336650850532252,0.284576099162403,1.18299060083796,0.236875688835304,"BMD",0.454926819617472,"linear",">10%",0.336650850532252
"140","MIR_26B_5P",0.54655792905671,0.466909645258422,1.17058607507284,0.241832442831413,"BMD",0.461390844875722,"linear",">10%",0.54655792905671
"5","LET_7C",-0.346099011106443,0.299085947533097,-1.15718914232218,0.247260962899534,"BMD",0.468664570201731,"linear",">10%",-0.346099011106443
"288","RNU48_B2",-0.14773269984448,0.128937213421897,-1.14577239513532,0.251954977719832,"BMD",0.474460672329553,"linear",">10%",-0.14773269984448
"283","RNU44_B1",0.41882920624032,0.368919854117083,1.13528508039418,0.256319020119201,"BMD",0.479564618287537,"linear",">10%",0.41882920624032
"214","MIR_491_5P",-0.692557034798852,0.621761413510444,-1.11386300235117,0.26553405762212,"BMD",0.493621004553941,"linear",">10%",-0.692557034798852
"130","MIR_223_5P",0.275801956493213,0.250663953932931,1.10028566998113,0.271268909405801,"BMD",0.501069960048932,"linear",">10%",0.275801956493213
"215","MIR_494",0.371667709838072,0.346256764342019,1.07338757856281,0.283193641157372,"BMD",0.518812904390817,"linear",">10%",0.371667709838072
"104","MIR_195_5P",1.07688057497496,1.00915002655852,1.06711643128765,0.286410655780665,"BMD",0.518812904390817,"linear",">10%",1.07688057497496
"36","MIR_1274A",0.563907622753644,0.530518597319311,1.0629365786667,0.287972630442586,"BMD",0.518812904390817,"linear",">10%",0.563907622753644
