"","miRNA","Estimate","Std. Error","t value","Pr(>|t|)","variable","FDR"
"149","MIR_29A_5P",0.00229273305074478,0.00160668675965808,1.42699442623944,0.153727317322932,"MIR_29A_5P",0.174964372149334
"150","MIR_29B_2_5P",0.00139532479389774,0.0011046843329589,1.26309820123941,0.206621665057296,"MIR_29B_2_5P",0.230640041826851
"151","MIR_29C_3P",0.0012567730723791,0.000550014601988378,2.28498128565259,0.0223596987931892,"MIR_29C_3P",0.02704050312771
"152","MIR_29C_5P",0.00199618448438326,0.000971037193826146,2.05572402074298,0.0398679905026608,"MIR_29C_5P",0.047539955780311
"153","MIR_301A_3P",0.000959681975658353,0.000951244283352967,1.00887016348276,0.313117277208695,"MIR_301A_3P",0.342398229225194
"154","MIR_302C_3P",-0.000140100942735139,0.000633848897107727,-0.221032084104626,0.82507765848765,"MIR_302C_3P",0.841915978048623
"155","MIR_30A_3P",-0.00267035623001331,0.00217962014459709,-1.2251475270279,0.220915332652569,"MIR_30A_3P",0.245461480725077
"156","MIR_30A_5P",7.91427300588261e-05,0.000960988003910139,0.0823555858520651,0.934367494963904,"MIR_30A_5P",0.942478620575733
"157","MIR_30B_5P",0.00192377496262214,0.00119217492181656,1.61366836981507,0.106668238452558,"MIR_30B_5P",0.123242187853553
"158","MIR_30D_5P",0.000429885557575354,0.000895805606954935,0.479887103002895,0.631330321354844,"MIR_30D_5P",0.658108530528055
"159","MIR_30E_3P",0.000837561695479642,0.00102881408824912,0.814104030112032,0.415627143153532,"MIR_30E_3P",0.445753962701643
"160","MIR_31_3P",0.000813588221988776,0.00307502212769168,0.264579631691793,0.79140320866521,"MIR_31_3P",0.809833911478161
"161","MIR_31_5P",0.00127953959990831,0.000784405334484783,1.6312224607049,0.102916246071681,"MIR_31_5P",0.119097012612878
"162","MIR_320A",0.000429093085374094,0.000823870889016821,0.520825642821485,0.602513548718049,"MIR_320A",0.629880782726151
"163","MIR_320B",-0.00163956522773894,0.0012999811355082,-1.26122232312086,0.207292355972126,"MIR_320B",0.23121070473814
"164","MIR_323A_3P",-0.00217231580641799,0.00219408616533325,-0.990077710137717,0.322301093942757,"MIR_323A_3P",0.351380891892479
"165","MIR_324_3P",0.00083199442714899,0.000965446339799427,0.861771796992714,0.38885897473341,"MIR_324_3P",0.419215995065758
"166","MIR_324_5P",-0.000235987488868017,0.000958986102436487,-0.246080196854204,0.805631468638922,"MIR_324_5P",0.822651851779181
"167","MIR_328",-0.000379504816599791,0.000751902761132844,-0.504725924969361,0.613775411559755,"MIR_328",0.640269314217011
"168","MIR_329",-0.000427382071081578,0.00113994507697045,-0.37491461625274,0.707752711583216,"MIR_329",0.73250637530026
"169","MIR_330_3P",0.00153934976375189,0.000990278673120364,1.55446118909277,0.120151913014943,"MIR_330_3P",0.138270058628307
"170","MIR_331_3P",0.000483713734247821,0.000836164530484419,0.578491094291681,0.562961071193389,"MIR_331_3P",0.591088742382631
"171","MIR_331_5P",-0.00444112314956994,0.00441178769910207,-1.00664933411774,0.314506418772979,"MIR_331_5P",0.343529658207423
"172","MIR_335_5P",-0.000973560441824249,0.00118147658599685,-0.824020089236747,0.410048697131392,"MIR_335_5P",0.441403571522286
"173","MIR_339_3P",0.00174598258018822,0.000830844932334489,2.1014542091295,0.0356559064636524,"MIR_339_3P",0.0426928690109794
"174","MIR_339_5P",0.000102754448589199,0.000796571233012632,0.128995931977837,0.897366528159873,"MIR_339_5P",0.910553859924294
"175","MIR_33A_3P",0.00860226423375295,0.00362491675496566,2.37309290536644,0.0179176911712652,"MIR_33A_3P",0.0218508428917869
"176","MIR_340_3P",0.000684144209363965,0.00104588847178259,0.654127306899106,0.513063238829526,"MIR_340_3P",0.541048506402045
"177","MIR_340_5P",0.00259503931043556,0.00204092005399342,1.271504636038,0.203796179855978,"MIR_340_5P",0.227661371950053
"178","MIR_342_3P",0.00185580148930202,0.000826279292416499,2.24597361489555,0.0247527160433206,"MIR_342_3P",0.0298597656096629
"179","MIR_342_5P",-0.00276163006412604,0.00195120833209989,-1.41534351749819,0.157260418256222,"MIR_342_5P",0.178705020745707
"180","MIR_345_5P",0.00186132805068488,0.000905975334740617,2.0545019045334,0.0399846492533904,"MIR_345_5P",0.0476398861277043
"181","MIR_361_5P",-0.00131944630609916,0.00108452739266804,-1.21660947894842,0.223856786603466,"MIR_361_5P",0.248349151166814
"182","MIR_362_5P",0.000944237580092401,0.000984065201624395,0.959527456649975,0.33736972872361,"MIR_362_5P",0.366431540561224
"183","MIR_363_3P",0.0012552252342441,0.000753027218675544,1.66690552892875,0.0956031533294353,"MIR_363_3P",0.110899657862145
"184","MIR_363_5P",0.0023637785335865,0.00130285554347949,1.81430592625306,0.0697072080651436,"MIR_363_5P",0.0818424710076585
"185","MIR_365A_3P",0.00070911631880681,0.000876861779936177,0.808697944228363,0.418742290752845,"MIR_365A_3P",0.448431552135617
"186","MIR_370",0.000682473554322177,0.000744108213467843,0.917169763711619,0.359108941341311,"MIR_370",0.388878241183646
"187","MIR_373_3P",0.000128275169467964,0.000777704527653837,0.164940751798041,0.869004307391106,"MIR_373_3P",0.883010683754102
"188","MIR_374A_5P",0.00149267971456106,0.000575549143727257,2.59348785560597,0.00953121534076979,"MIR_374A_5P",0.0117319713447506
"189","MIR_374B_5P",0.000838494070671443,0.000578295858280412,1.44993960905192,0.147147057866774,"MIR_374B_5P",0.168134936096787
"190","MIR_375",0.00147502962093386,0.00105067233214691,1.403891180726,0.160423421803958,"MIR_375",0.18201405447241
"191","MIR_376A_3P",0.00106470579920538,0.000637975872152106,1.66888098073955,0.095212832445539,"MIR_376A_3P",0.110623883850987
"192","MIR_376C",0.000451873898656409,0.00218633745420418,0.206680765490929,0.836309029593119,"MIR_376C",0.852177155945202
"193","MIR_378A_5P",0.0013651346802391,0.000804319205574711,1.69725485948538,0.0897171333025472,"MIR_378A_5P",0.104657959202489
"194","MIR_382_5P",-0.00154665712796983,0.000786961218010813,-1.96535368271297,0.0494455868829278,"MIR_382_5P",0.0585752458988932
"195","MIR_409_3P",0.000346466918003236,0.000826288715992745,0.419304912795492,0.675012822395744,"MIR_409_3P",0.700621755528869
"196","MIR_410",-5.61983655056255e-05,0.000632205515790262,-0.0888925580400498,0.929178563611351,"MIR_410",0.938237407546281
"197","MIR_411_3P",0.000324028077344895,0.00114728642196168,0.282429976632041,0.777630803640597,"MIR_411_3P",0.797429041922818
"198","MIR_422A",0.000472431330284523,0.00081224981485453,0.581633041515846,0.560855290274355,"MIR_422A",0.589304471665083
"199","MIR_423_5P",-8.56361563600285e-05,0.000889597518586675,-0.0962639334876751,0.923315598557516,"MIR_423_5P",0.932966981120835
"200","MIR_424_3P",0.00139793698684944,0.00115761540994134,1.20760053368699,0.227265669905233,"MIR_424_3P",0.251938242631948
"201","MIR_425_3P",0.00189262044460264,0.000744860988560115,2.54090424075135,0.0110900270072865,"MIR_425_3P",0.0136275755598012
"202","MIR_431_5P",0.0027269703177395,0.00144662791683862,1.8850530160505,0.05959151717209,"MIR_431_5P",0.0703073229451021
"203","MIR_432_5P",-0.000418760392827228,0.00142486597549272,-0.293894583792289,0.768882620038383,"MIR_432_5P",0.789016135212778
"204","MIR_433",0.000734691578439185,0.00140098997647932,0.524408875704778,0.600042573185626,"MIR_433",0.628203415970511
"205","MIR_451A",0.000402097758048444,0.00119787572150195,0.335675688913936,0.737130686043263,"MIR_451A",0.760198787171218
"206","MIR_454_3P",0.00139844736025636,0.00051714686224016,2.70415903559505,0.00687496116664572,"MIR_454_3P",0.00848399463117983
"207","MIR_454_5P",0.00130136210351861,0.000898484701787798,1.44839650683999,0.147576188703259,"MIR_454_5P",0.16849249891317
"208","MIR_483_3P",-0.000105391749740854,0.00211933175652441,-0.0497287644638,0.96034854460848,"MIR_483_3P",0.963671549953146
"209","MIR_483_5P",0.000254848122969461,0.000500193921582099,0.509498640374084,0.610453437424402,"MIR_483_5P",0.637262407678461
"210","MIR_484",0.0043450141016759,0.00216608136146766,2.00593300832055,0.0449215272765258,"MIR_484",0.0532593741218008
"211","MIR_485_3P",-0.00218504922077562,0.00230447903152388,-0.948174919747793,0.343371886558121,"MIR_485_3P",0.372392846304618
"212","MIR_486_3P",-0.000347940788541316,0.000734681776717073,-0.473593873657912,0.635820949162437,"MIR_486_3P",0.662313488710872
